"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Woodland Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762,1765,1822,1781,1749,1740,1795,1742,1770,1850,1870,1845,1765,1865.5,1935,1882,1925,1996,1994,2050,2010,2090,1917,1910,2000,1975,1957.5,2044,2047,2067,2119,2149,2103,2055,2040,2158,2127.5,2089,2103.5,2074
"Greenville","Jersey City","NJ","New York","Hudson",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1200,1050,1200,1150,1297.5,1250,1250,1250,1200,1250,1200,1200,1200,1200,1200,1175,1250,1275,1262.5,1200,1200,1200,1200,1200,1200,1250,1250,1300,1262.5,1200,1250,1295,1275,1297.5,1300,1275,1375,1295
"Oak Lawn","Dallas","TX","Dallas-Fort Worth","Dallas",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405,1411,1458,1464,1498,1500,1495.5,1545,1565,1595,1583.5,1523,1575,1557.5,1599,1595,1575,1565,1577.5,1612,1595,1614.5,1630,1640,1634,1659,1599,1650,1645,1650,1645,1682,1675,1705
"Greater Uptown","Houston","TX","Houston","Harris",115,,,,,,,,,,,,,,,,,,,,,,,,,,1348,1402.5,1324,1357.5,1355,1502.5,1654,1632,1549,1609,1614,1581.5,1555,1584.5,1531,1640,1489,1383,1425,1489,1506,1529,1496,1615,1629,1530,1595,1525,1582.5,1650,1679.5,1635,1624,1620,1650,1700,1665,1665,1690,1672,1645,1600,1572.5,1595,1600
"Palms","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,1695,1697,1795,1840,1650,1625,1772.5,1875,1915.5,1897.5,1925,2100,2050,2100,2050,1972.5,1897,2025,1935,2095,2192.5,2095,2050,2100,1995,1895,2175,2195,2300,2422.5,2350,2300
"Fordham","New York","NY","New York","Bronx",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,1172.5,1100,1162.5,1195,1100,1238,1258,1300,1300,1300,1300,1300,1245,1245,1200,1206.5,1200,1155,1200,1200,1200,1250,1250,1250,1250,1200,1200,1250,1300,1325,1350,1450,1375,1400,1387.5,1400,1450,1495,1400,1400,1500,1475,1525
"Mid City West","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,3050,2739,2800,2869,2999,3080,2529.5,2401,2403,2500,2450,2500,2491.5,2651,2795,2572,2448,2500,2795,2857,2895,2895,2800,2669,2584.5,2599,2750,2756,2850,2795,2950,2589,2434,2663.5,2696.5,2750,2799.5,2799,2698.5
"Encino","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1845,1810,1825,1953,1817.5,1960,1925,2040,2146,2090,2155,2075,1996,1996,1975,2155,2215,2225,2155,1950,1950,2095,2200,2116,2100,2075,2100,2206,2206
"Valencia","Santa Clarita","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710,1680,1697.5,1765,1777.5,1784,1775,1680,1605,1617.5,1682.5,1725,1731,1742.5,1725,1725,1730.5,1755,1760,1805.5,1755,1815,1807,1797.5,1798,1786,1784,1817.5,1827,1910,1912.5,1856,2004
"Sunnyside","New York","NY","New York","Queens",121,,,,,,,1500,1522.5,1495,1550,1550,1550,1550,1545,1562.5,1562.5,1685,1662.5,1562.5,1550,1550,1550,1650,1575,1550,1675,1625,1700,1700,1700,1750,1725,1695,1750,1750,1762.5,1800,1750,1750,1775,1795,1825,1812.5,1875,1875,1875,1875,1875,1895,1900,1900,1950,1900,1900,1912.5,1950,1925,1975,1975,1998,2000,2100,2099.5,2050,2050,2050,2050,2050,2000,2050
"Memorial","Houston","TX","Houston","Harris",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1615,1625,1402.5,1416.5,1549,1400,1468.5,1460,1550,1575,1575,1477,1570.5,1400,1460,1500,1551,1622.5,1691.5,1745,1730,1655,1514,1770,1671
"Greenwich Village","New York","NY","New York","New York",123,,2850,3000,3000,3087.5,2850,2795,2795,2884,2900,2950,2950,2900,2950,3000,2975,2950,3100,3037.5,3150,3150,3150,3200,3250,3200,3250,3295,3197,3195,3125,3195,3195,3195,3295,3295,3250,3295,3300,3300,3350,3300,3400,3400,3420,3430,3500,3372.5,3300,3350,3495,3495,3400,3395,3395,3495,3450,3395,3300,3395,3500,3500,3550,3400,3450,3399,3300,3300,3300,3300,3300
"Jefferson Park","Chicago","IL","Chicago","Cook",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1250,1175,1150,1150,1300,1150,1250,1250,1299,1300,1300,1275,1200
"Portage Park","Chicago","IL","Chicago","Cook",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1175,1050,987.5,1150,1097.5,1025,1100,1100,1100,1222.5,1100,1262.5,1195,1075,1087.5,1147.5,1100
"Coney Island","New York","NY","New York","Kings",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1580,1600,1725,1800,1825,1850,1850,1850,1750,1687.5,1825,1981.5,1900,2000,1950,1950,1900,2000,2000,2000,1999.5,1900,1925,1897.5,2025,2012.5,2000,2150,2200,2150,2100,2250
"Carmel Valley","San Diego","CA","San Diego","San Diego",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075,2025,2070,2080,2088,2105,2192.5,2190,2157.5,2100,2250,2200,2250,2200,2335,2345,2365,2390,2365,2385,2365,2310,2440,2430,2435,2470,2405,2465,2475,2490,2475
"Rego Park","New York","NY","New York","Queens",128,,,,,,,,,,,,,,,,,,,,,,1800,1808,1800,1612.5,1597.5,1657.5,1750,1700,1750,1700,1637.5,1700,1700,1725,1800,1800,1800,1800,1800,1775,1800,1750,1775,1850,1800,1895,1850,1875,1850,1857.5,1875,1850,1860,1900,1900,1900,2000,2100,2150,2150,2175,2130,2150,2185,2100,2100,2100,2100,2000
"Morningside Heights","New York","NY","New York","New York",129,,,,,,,,,,,,,,,,,,2595,2446,2447.5,2525,2697.5,2650,2500,2500,2550,2597.5,2597,2600,2525,2599,2595,2600,2700,2700,2697.5,2695,2695,2695,2650,2750,2775,2800,2850,3115,3000,3495,3200,3195,2895,2995,2975,2998,3197.5,2850,2998,3195,2995,3000,3000,2900,2995,2900,2947.5,2800,2950,3090,3090,2947.5,3095
"Kew Gardens Hills","New York","NY","New York","Queens",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1825,1775,1800,1600,1550,1625,1650,1680,1680,1850,1900,1895,1900,2150,2197.5,1935,2050,1950,1922.5,1849.5,1895,1950,1950,1950,1950,1750,1800,1800,1841,1800,1775,1800,1875,1800,1788
"East Boston","Boston","MA","Boston","Suffolk",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1450,1500,1550,1600,1800,1700,1900,1900,1900,1800,1800,1795,1800,1800,1800,1800,2000,2000,1950,2000,2000,1850,1950,1975,2000,2000,2040,2005,2100,2200,2200,2100,2100,2000,2040,2115,2200,2200,2200,2217,2200,2300
"Coral Way","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1700,1825,1675,1737.5,1700,1850,2100,1835,1800,1775,1835,2000,2000,2100,2075,2150,1900,1800,1850,1900,1979,1900,1800,1850,1900,1985,1925,1900,1840,1797.5,1950,2069,2200,2189,2166.5,2119,2195,2208,2250,2232.5,2235
"Ocean Hill","New York","NY","New York","Kings",133,,,,,,,,,,,,,,,,,,,,,,1412.5,1500,1550,1595,1595,1600,1500,1550,1600,1600,1600,1600,1700,1750,1800,1800,1750,1700,1700,1625,1600,1600,1600,1700,1850,1800,1800,1800,1800,1850,1800,1800,1850,1800,1800,1800,1962.5,2000,2049,2100,2000,2000,2000,2060,2100,2100,2100,2099,2099
"Mid Wilshire","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,2347.5,2289,2172.5,2195,2048,2195,2167.5,2200,2036,2145,2225,2227,2250,2295,2380,2380,2306.5,2292,2299,2320.5,2369.5,2288.5,2358,2395
"Briarforest Area","Houston","TX","Houston","Harris",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932.5,870,940,950,945,1077,1092.5,1077,1069.5,1069,1050,1069,1017,1159.5,1144.5,1180,1100,1197.5,1194,1170,1084
"Parkchester","New York","NY","New York","Bronx",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1157.5,1150,1150,1150,1195,1200,1200,1200,1199,1200,1250,1200,1200,1225,1257.5,1300,1300,1250,1205,1250,1265,1250,1311,1300,1300,1250,1300,1300,1300,1325,1300,1300,1300,1362.5,1362.5,1400
"Desert View","Phoenix","AZ","Phoenix","Maricopa",137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,1576.5,1500,1355,1340,1324,1220,1210,1214,1220,1240,1264,1347,1399,1299,1295,1327,1279.5,1267,1310,1376.5,1376.5,1396.5,1211.5,1422,1379,1239.5,1259,1320,1311,1320,1282.5
"Mar Vista","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,2272.5,2065,2030,1995,1995,1995,2029.5,2207.5,2150,2030,2285
"Ocean Parkway","New York","NY","New York","Kings",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775,1700,1500,1550,1500,1500,1512.5,1550,1550,1600,1475,1550,1600,1700,1700,1600,1650,1550,1570,1575,1575,1597.5,1595,1625,1650,1600,1650,1650,1700,1795,1775,1650,1650,1650
"Bridgeport","Chicago","IL","Chicago","Cook",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,1075,975,1022.5,1097.5,1140,1050,1000,1040,1100,1012.5,900,985,1000,1100,950,1100,1095,1150,997.5,1150,1100,1000,1025,1125,962.5,1050,1237.5
"South Shore","Chicago","IL","Chicago","Cook",141,,,,,,,775,750,750,745,725,745,750,750,725,735,725,750,710,737.5,750,750,742.5,775,750,725,740,745,750,750,750,750,770,795,785,800,780,750,750,750,750,750,750,750,775,775,775,750,799.5,850,850,850,875,850,850,900,900,900,900,895,915,912.5,950,950,950,937.5,965,950,925,875
"Jamaica Plain","Boston","MA","Boston","Suffolk",142,,,,,,,,,,,,,,,,,,1950,1695,1800,1800,1695,1697.5,1800,1850,1975,2000,2100,2400,2250,2000,2100,2100,2100,2175,2200,2175,2100,2100,2150,2200,2390,2300,2325,2400,2300,2300,2200,2175,2150,2200,2300,2650,2625,2600,2500,2625,2600,2600,2590,2500,2350,2350,2400,2600,2725,2700,2700,2697.5,2700
"Woodhaven","New York","NY","New York","Queens",143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1400,1500,1550,1600,1375,1350,1400,1350,1350,1350,1400,1450,1500,1550,1475,1574,1550,1575,1525,1575,1650,1675,1625,1625,1695,1700,1690,1650,1625,1695,1750,1725,1700,1625,1750,1750,1775
"Inwood","New York","NY","New York","New York",144,,,,,,,,,,,,,,,,,,1450,1450,1450,1450,1412.5,1450,1495,1450,1390,1350,1425,1450,1462.5,1495,1495,1475,1495,1475,1450,1450,1450,1450,1425,1450,1450,1475,1475,1550,1600,1599,1600,1550,1612.5,1640,1595,1625,1595,1595,1597,1625,1650,1695,1649,1600,1650,1650,1697,1700,1695,1695,1595,1650,1662.5
"Norwood","New York","NY","New York","Bronx",145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1250,1272.5,1250,1165,1313.5,1335,1375,1275,1250,1250,1275,1275,1275,1269,1237.5,1225,1225,1225,1300,1225,1225,1250,1259.5,1300,1275,1350,1350,1325,1395,1375,1350,1375,1400,1375,1395,1395,1437.5,1450,1400,1450
"North","Arlington","TX","Dallas-Fort Worth","Tarrant",146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,787,789,784,765,799,799,770.5,775,765,787.5,825,815,815,815,817.5,842.5,850,847.5,850,850,852.5,890,919,945,895,895
"Brighton","Boston","MA","Boston","Suffolk",147,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1917.5,2000,2000,1950,1925,1900,1950,1950,1975,2000,1975,1952.5,2000,2000,2000,2150,2125,2100,2100,2050,2000,2000,1975,1995,2000,2097.5,2030,2100,2095,2095,2095,2100,2195,2150,2100,2129.5,2100,2300,2450,2400,2400,2550
"Dyker Heights","New York","NY","New York","Kings",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1500,1600,1575,1500,1600,1600,1650,1650,1662.5,1700,1600,1600,1600,1637.5,1600,1600,1650,1700,1700,1700,1787.5,1750,1800,1800,1800,1750,1800,1850,1800,1800,1700,1700,1800,1950,1900,2000,1900,1800,1850
"Morris Park","New York","NY","New York","Bronx",149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1277.5,1300,1250,1292.5,1282.5,1255,1300,1255,1250,1255,1250,1295,1300,1325,1325,1350,1400,1350,1395,1395,1400,1375,1400,1425,1450,1475,1475,1450,1450,1475,1450,1450,1450,1450,1450,1450,1450,1500
"North Park","San Diego","CA","San Diego","San Diego",150,,,,,,,,,,,,,,,,,,,,,,,1125,1175,1200,1225,1125,1200,1200,1200,1200,1195,1095,1195,1300,1300,1300,1112.5,1195,1195,1195,1160,1195,1200,1200,1312.5,1297.5,1387.5,1385,1350,1350,1325,1325,1395,1295,1375,1402.5,1400,1325,1437.5,1495,1450,1350,1450,1437.5,1425,1450,1497.5,1595,1475
"Humboldt Park","Chicago","IL","Chicago","Cook",151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1330,1250,1295,1300,1300,1295,1295,1300,1195,1300,1250,1250,1395,1350,1350,1300,1350,1185,1295,1295,1350,1350,1375,1350,1350,1300,1337.5,1400,1400,1400,1450,1550,1495
"Lake View East","Chicago","IL","Chicago","Cook",152,,,,,1162.5,1050,1010,1000,1025,1032.5,1050,1050,1072.5,1095,1075,1095,1095,1197.5,1175,1220,1220,1245,1225,1170,1272.5,1330,1350,1270,1265,1320,1210,1200,1190,1210,1245,1275,1270,1245,1245,1295,1245,1250,1250,1295,1295,1295,1275,1280,1295,1295,1315,1300,1315,1342.5,1345,1350,1375,1395,1375,1350,1350,1345,1377,1395,1405,1395,1395,1400,1395,1400
"Throggs Neck","New York","NY","New York","Bronx",153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1500,1700,1500,1500,1650,1650,1650,1700,1700,1700,1700,1650,1650,1700,1750,1675,1650,1650,1662.5,1650,1650,1675,1700,1650,1700,1800,1800,1900,1800,1800,1800,1800,1700,1700,1800,1775,1625,1600
"North Center","Chicago","IL","Chicago","Cook",154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1648,1624,1600,1595,1600,1650,1550,1705,1650,1672.5,1600,1585,1595,1550,1687.5,1425,1600,1600,1645,1795,1795,1700,1687.5,1645,1625,1600,1672.5,1600,1600,1795,1790
"South Loop","Chicago","IL","Chicago","Cook",155,,,,,,1753,1748,1786,1799,1825,1849,1890,1936,1884.5,2024,1996,1900,1775,1879,1992.5,2048,2104,1978.5,1918.5,1917.5,1841.5,1891,1900,1907,2000,1961,1950,1950,1931,1950,1932,1850,1881,1900,1950,1908,1905,1950,1940,1920,1963.5,1979,1990,1955,1954,2000,2014,2000,1960,1905,2012,2008,2019,2023.5,2007,2016,2008,2034,2061,2128,2058,2014,2007,2000,2014
"South Boston","Boston","MA","Boston","Suffolk",156,,,,,,,,,,,,,,,,,,,,,,2600,2512,2514,2797,2427,2434,2550,2452.5,2442,2402,2500,2677,2900,2900,2800,2750,2700,2675,2724,2751,2750,2750,2800,2865,2924,2909,2800,2793.5,2800,2802,2700,2710,2800,2800,2850,2953,2954,2936,2800,2800,2750,2800,2700,2761,2850,2888,2850,3000,2914.5
"La Sierra","Riverside","CA","Riverside","Riverside",157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.5,1282,1300,1315,1400.5,1395,1400,1420,1445,1425,1376,1417.5,1396,1426,1257.5
"Studio City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,1910,1810,1801,1902,1919.5,1937.5,1914,1915,1925,2096,2019.5,2090,2115,2098,2159,2105.5,2130,2128,2181,2260,2255,2270,2276,2300,2281,2195,2174,2249,2298,2505,2510.5,2325,2286.5
"Whitestone","New York","NY","New York","Queens",159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2050,2000,1950,2000,2000,1900,1800,1800,2000,1850,2000,2000,2000,2100,2100,2100,2000,2000,2200,2200,2075,2100
"Del Rey","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544,2907,2818,3010,2900,3002.5,2960,2900,2900,2875,2795,2855,2850,2737.5,2790,2735,2767.5,2898,2978.5,2873.5,2997,2912,3100,3066.5,3020,2800,2998,2969.5
"Fort Greene","New York","NY","New York","Kings",161,,,,,,,2229,2250,2249,2350,2400,2450,2400,2400,2497.5,2561.5,2610,2597.5,2450,2492.5,2500,2450,2495,2595,2631.5,2650,2590,2700,2660,2725,2650,2590,2650,2697.5,2750,2750,2715,2675,2700,2700,2719,2750,2758.5,2775,2825,2800,2750,2800,2865,2850,2900,2900,2950,3250,3150,3175,3400,3400,3100,3050,3050,3000,3000,2995,3000,3000,3046,3046,3138,3197
"Columbia Heights","Washington","DC","Washington","District of Columbia",162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2284,2395,2500,2418.5,2275,2237.5,2206.5,2135,2287.5,2254.5,2159,2037.5,2100,2173,2094,2195.5,2242.5,2100,2100,2153.5,2048.5,2169.5,2008,1997,2090,2165,1995,2260
"East Tremont","New York","NY","New York","Bronx",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1350,1375,1375,1500,1400,1400,1424.5,1550,1515,1515,1450,1487.5,1500,1475,1435,1327.5,1327.5,1397.5,1450,1443,1499,1412.5,1650,1700,1550,1500,1425,1450,1497.5,1500,1525,1450,1495
"Hyde Park","Boston","MA","Boston","Suffolk",164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1800,1800,1550,1697.5,1795,1800,1750,1750,1800,1837.5,1800,1900,2000,1725,1899.5,1800,1800,1850,1900,1850,1750,1725,1700,1722.5,1700,1750,1800,1900,1900,1850,1900,2100
"Oak Cliff","Dallas","TX","Dallas-Fort Worth","Dallas",165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,944,943.5,934,1093.5,1000,1072,1101,1101,1102,1101,1156,1158,1100,1156,1124,1095,1089,1090,1090,1171,1103,1290,1259,1273.5,1280,1397.5,1395,1284.5,1300
"Mount Lebanon","Pittsburgh","PA","Pittsburgh","Allegheny",166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,850,862.5,850,850,850,825,850,850,920,882.5,825
"Greenwood","New York","NY","New York","Kings",167,,,,,,,,,,,,,,,,,,,,,,,,,2000,1995,1937.5,2000,2000,1995,2100,2075,2175,2200,2100,2100,2200,2200,2100,2000,1995,1995,2000,2000,2164,2250,2200,2200,2165,2200,2250,2260,2395,2400,2400,2200,2200,2400,2350,2350,2300,2300,2350,2350,2295,2395,2400,2300,2250,2300
"Venice","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593.5,2950,2733.5,2490,2475,2748,2385,2485.5,2587.5,2999,3174,3092.5,3299,3310,3314,3250,3384,3032,3043.5,3229,3150,3295,3298,3206.5,3349,3285,3117.5,3287.5,3197.5,3354.5,3500,3544.5,3285,3769.5,3465
"Greenpoint","New York","NY","New York","Kings",169,,,,,,,,,,,,,,,,,,,,,,,2600,2750,2500,2400,2330,2387.5,2400,2400,2500,2700,2775,2700,2999,3000,2972.5,2850,2800,2750,2700,2650,2600,2650,2750,2800,2800,2800,2800,2807.5,2800,2700,2700,2650,2700,2800,2950,2850,2800,2900,2956,2900,2800,2800,2700,2700,2800,2999,2995,2947.5
"Kingsbridge","New York","NY","New York","Bronx",170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.5,1350,1275,1300,1300,1275,1275,1200,1275,1295,1300,1282.5,1297.5,1300,1325,1350,1325,1300,1300,1347.5,1325,1350,1375,1400,1400,1380,1450,1500,1499,1495,1450,1400,1400,1400,1425,1450,1450,1450,1475,1450
"Roslindale","Boston","MA","Boston","Suffolk",171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1950,1800,1900,1937.5,1900,1850,1850,1800,1800,1800,1800,1800,2100,1900,1900,1900,1850,1850,1800,1797.5,1950,2000,2025,2200,2100,2100,2000,1937.5,1900,1800,1800,1900,1900,2054,2100,2054.5,2150,2021
"Sawtelle","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,1975,2195,2500,2560.5,2497.5,2495,2250,2200,2322.5,2380,2345,2399,2447,2250,2225,2250,2200,2395,2400,2240,2395,2181.5
"Summerlin South","Las Vegas","NV","Las Vegas","Clark",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439,1575,1650,1672.5,1600,1457,1600,1441,1472,1500,1600,1578.5,1492,1645
"West Raleigh","Raleigh","NC","Raleigh","Wake",174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,816.5,763,831.5,849,875,825,875,875,865,880,880,895,885,857.5,859.5,875,885,885,872,900,923,900,875,875,875,959,957.5,965,949,972,985,935,950
"Glendale","New York","NY","New York","Queens",175,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,1450,1500,1500,1500,1450,1450,1550,1500,1500,1500,1500,1500,1500,1550,1525,1550,1600,1600,1650,1600,1600,1700,1600,1600,1700,1700,1762.5,1797,1800,1800,1825,1800,1799,1700,1800,1800,1850,1800,1800,1850,1900,2000
"Prospect Lefferts Gardens","New York","NY","New York","Kings",176,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1550,1550,1600,1650,1675,1600,1650,1575,1700,1800,1800,1900,1800,1750,1700,1600,1600,1625,1650,1700,1699,1650,1700,1700,1600,1700,1800,1900,2000,2000,1985,1950,1900,1900,1850,1900,1950,2000,1975,1950,1950,1950,1962.5,2000,2200
"Middle Village","New York","NY","New York","Queens",177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1525,1500,1750,1700,1600,1600,1600,1600,1650,1650,1650,1650,1850,1750,1750,1700,1765,1775,1800,1757.5,1795,1800,1800,1800,1850,1850,1937.5,1900,1900,1875,1900,1900,1800,1800,1800,1850,2000,1900
"The Colony","Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.5,1725,2017,2051.5,2000,1922,1943,1878.5,1826,1858,1861,1893.5,1895
"Downtown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2546.5,2455,2374,2375,2279,2267.5,2315.5,2370,2500,2495,2417.5,2427,2396.5,2502,2595,2590,2495,2560,2495,2572,2597.5,2550,2595,2759.5,2772.5,2699,2725,2805,2806,2700,2735,2715,2797.5
"Marquette Park","Chicago","IL","Chicago","Cook",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887.5,775,900,792.5,875,850,850,850,850,850,800,800,850,975,1000,900,962.5,900
"Bronzeville","Chicago","IL","Chicago","Cook",181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119,1100,1167.5,1075,1197.5,1228,1195,1175,1150,1200,1250,1264,1275,1300,1300,1292,1276.5,1250,1250,1235,1250,1295,1225,1315,1200,1325,1350,1288,1284.5,1237.5,1145.5,1200,1200,1200,1150,1200,1300,1300,1397.5
"Capitol Hill","Seattle","WA","Seattle","King",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1495,1595,1736.5,1875,1864.5,1818,1795,1699,1650,1695,1695,1705,1775,1780.5,1749.5,1836,1893.5,1850,1815,1795,1775,1762.5,1769.5,1795,1865,1816,1875,1750
"M Streets","Dallas","TX","Dallas-Fort Worth","Dallas",183,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1100,1200,1300.5,1204.5,1297,1319,1280,1280.5,1203,1296.5,1249,1308.5,1302,1299.5,1295.5,1300,1304,1302,1304,1349,1389,1408,1479,1461.5,1425,1437.5,1437,1411.5,1429.5,1450,1469,1460,1460,1461.5,1448,1468,1449,1478,1495,1522.5,1500,1530.5
"Homecrest","New York","NY","New York","Kings",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1300,1395,1395,1400,1425,1495,1490,1450,1450,1500,1525,1525,1500,1475,1500,1575,1612.5,1600,1600,1650,1650,1695,1600,1600,1637.5,1600,1695,1799.5,1700,1800,1700,1650,1600,1699.5,1775,1700,1650,1650
"West Roxbury","Boston","MA","Boston","Suffolk",185,,,,,,,,,,,,,,,,,,,,1810,1810,1787.5,1775,1650,1650,1650,1650,1665,1677.5,1725,1675,1700,1700,1725,1800,1800,1847.5,1820,1765,1775,1795,1800,1805,1825,1895,1810,1875,1850,1800,1850,1850,1825,1980,1850,1795,1802.5,1875,1900,1900,1895,1850,1850,1850,1800,1850,1875,1892.5,1950,1950,1852.5
"Bellerose","New York","NY","New York","Queens",186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1800,1700,1687.5,1687.5,1750,1725,1700,1787.5,1625,1650,1750
