"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"West Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,1270,1299,1299.5,1295,1295,1310,1325,1295,1365,1365,1347.5,1350,1350,1345,1297.5,1312.5,1375,1340,1397.5,1395,1395,1372.5,1425,1425,1437.5,1450,1465,1510,1545,1545,1520,1532.5,1475,1555,1595,1595,1595,1597.5,1595
"East Village","New York","NY","New York","New York",61,,,,,2600,2650,2500,2685,2695,2700,2800,2800,2900,2950,2950,2975,2900,2914,2895,2900,2995,3000,3000,2975,2999,3000,3000,2895,2895,2900,2900,2900,2995,3095,3099,3000,3100,3095,3100,3070,3000,3095,3075,3100,3200,3300,3300,3300,3300,3300,3300,3300,3250,3200,3249.5,3252.5,3000,3100,3100,3195,3190,3100,2995,3050,2995,2995,2995,3100,3195,3200
"Mira Mesa","San Diego","CA","San Diego","San Diego",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679,1705,1733.5,1725,1692,1723,1727.5,1875,1975,1700,1672,1750,1767.5,1825,1822,1800,1810.5
"West Rogers Park","Chicago","IL","Chicago","Cook",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,975,1000,1075,1100,1125,1100,1050,1100,1100,1030,1075,1050,1100,1075,1100,1100,1067.5,1100,1125,1150,1100,1150,1149.5,1150,1100,1050,1050,1125,1150,1150,1250,1285,1290,1250,1297.5,1300,1300,1350,1285,1275,1250,1212.5
"Far Rockaway","New York","NY","New York","Queens",64,,,,,,,,,,,,,,,,,,,,,,,,1485,1485,1550,1550,1550,1625,1600,1550,1450,1500,1395,1400,1400,1400,1400,1399.5,1399,1325,1337.5,1375,1375,1450,1425,1412.5,1325,1400,1550,1600,1600,1750,1650,1650,1600,1600,1550,1595,1650,1650,1700,1800,1750,1700,1800,1800,1750,1850,1650
"Eldridge - West Oaks","Houston","TX","Houston","Harris",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,1184,1215,1291,1290,1290,1221,1183.5,1185,1199,1283,1320,1320,1295,1285,1291,1279,1292,1284,1269,1267,1229,1175,1192,1195,1239,1269,1214,1212
"Ridgewood","New York","NY","New York","Queens",66,,,,,,,,,,,,,,,,,,,,,,,,,,,1412.5,1450,1450,1437.5,1525,1525,1600,1650,1800,1800,1750,1700,1802.5,1800,1700,1700,1700,1750,1850,1800,1800,1800,1900,1900,1900,1950,2000,2000,2100,2100,2125,2150,2100,2100,2150,2150,2200,2300,2300,2500,2500,2500,2500,2683
"East Elmhurst","New York","NY","New York","Queens",67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1650,1650,1700,1800,1800,1650,1750,1700,1800,1750,1750,1700,1775,1800,1550,1780,1800,1800,1800,1850,1850,1900,1850,1800,1795,1800,1800,1800,1850,1850,1850,1800,1950,2000,1900,1825,1900,2200
"South Dorchester","Boston","MA","Boston","Suffolk",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.5,1712.5,1750,1775,1750,1782.5,1800,1747.5,1750,1750,1800,1775,1727.5,1700,1750,1715,1750,1700,1750,1800,1875,1825,1800,1800,1800,1800,1850,1900,1900,1900,1835,1900,1950,2000,1900,1800,1800,1850,1900,1900,1950,1900,2200
"Midtown","Memphis","TN","Memphis","Shelby",69,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600,650,562.5,550,623.5,625,595,595,617,605,625,625,595,595,600,605,600,625,650,615,615,625,675,675,695,700,650,662.5,677.5,650,650,675,695,695,695,675,695,717.5,790,750,795,840
"Jackson Heights","New York","NY","New York","Queens",70,,,,,,,,,,,,,,,,,1525,1400,1450,1550,1575,1575,1550,1575,1525,1575,1687.5,1700,1700,1700,1700,1650,1650,1650,1700,1700,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750,1775,1750,1750,1750,1750,1800,1800,1800,1800,1800,1850,1825,1825,1820,1825,1700,1795
"Northwest Raleigh","Raleigh","NC","Raleigh","Wake",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935,913,955,927,950,883,899.5,895,879,909,850,849.5,874,885,880,899,914.5,917,877,995,854,857,847,895,890,919,914,890,915,939.5,972.5,1079,1070,1099,1104.5,1149.5,1159,1155,1190
"Kingwood Area","Houston","TX","Houston","Harris",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,1025,991.5,1020,1003,1070,1096,1099,989,989,989,989,989,1005,972,1035,1040,1047.5,1072,1052,1095,1122,1060,1116.5,1120,1136,1205,1219.5,1205,1190,1162.5,1165,1172,1131.5,1148,1144,1144,1180,1111
"Midwood","New York","NY","New York","Kings",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1382.5,1350,1350,1395,1395,1400,1395,1395,1400,1399,1400,1450,1500,1600,1550,1450,1450,1499,1475,1500,1575,1599.5,1550,1700,1700,1562.5,1650,1700,1700,1700,1700,1800,1700,1745,1800,1750,1849
"Clear Lake","Houston","TX","Houston","Harris",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,1055,948.5,895,906,925,895,840,838,834,838,900,867.5,894.5,888.5,902.5,897,895,913,904,989.5,1025,950.5,1016,1023.5,1055.5,1020.5,1018
